	Ribo	Proba_0	Proba_1
SRR5693329	0.0	0.6568649833084685	0.34313501669153157
SRR5693330	0.0	0.5502118981128883	0.44978810188711177
SRR5693331	0.0	0.6268157628471878	0.3731842371528123
SRR5693332	0.0	0.5582804232804233	0.4417195767195768
SRR5693333	0.0	0.5682804232804233	0.4317195767195768
SRR5693334	0.0	0.56994708994709	0.4300529100529101
SRR5693335	0.0	0.5866137566137567	0.4133862433862434
SRR5693336	0.0	0.619996594897585	0.380003405102415
SRR5693337	0.0	0.7249470899470899	0.27505291005291005
SRR5693338	0.0	0.6966632615642516	0.3033367384357484
SRR5693339	0.0	0.6499470899470898	0.35005291005291006
SRR5693340	0.0	0.6267115707429957	0.37328842925700434
SRR5693342	0.0	0.6383299282309184	0.36167007176908167
SRR5693343	0.0	0.600049504950495	0.3999504950495049
SRR5693344	0.0	0.560058201058201	0.4399417989417989
SRR5693345	0.0	0.5601111111111111	0.4398888888888889
SRR5693346	0.0	0.6001623931623932	0.3998376068376068
SRR5693347	0.0	0.5901623931623932	0.4098376068376068
SRR5693348	0.0	0.609996594897585	0.390003405102415
SRR5693349	0.0	0.6183287324591672	0.38167126754083275
SRR5693350	0.0	0.6383782374096623	0.36162176259033774
SRR5693351	0.0	0.679996594897585	0.320003405102415
SRR5693352	0.0	0.6166137566137566	0.38338624338624344
SRR5693353	0.0	0.6266632615642517	0.3733367384357484
SRR5693354	0.0	0.629996594897585	0.37000340510241503
SRR5693355	0.0	0.630049504950495	0.36995049504950495
SRR5693356	0.0	0.6399983719983721	0.36000162800162805
SRR5693357	0.0	0.58	0.42
SRR5693358	0.0	0.5998882664176781	0.4001117335823218
SRR5693359	0.0	0.6098882664176781	0.3901117335823219
SRR5693360	0.0	0.6483299282309184	0.35167007176908166
SRR5693361	0.0	0.629996594897585	0.37000340510241503
SRR5693362	0.0	0.6799470899470899	0.3200529100529101
SRR5693363	0.0	0.639996594897585	0.360003405102415
SRR5693364	0.0	0.6232804232804233	0.37671957671957673
SRR5693365	0.0	0.5949470899470899	0.40505291005291005
SRR5693367	0.0	0.6582804232804232	0.3417195767195767
SRR5693368	0.0	0.5701606160616062	0.4298393839383938
SRR5693369	0.0	0.5802118981128883	0.4197881018871118
SRR5693370	0.0	0.580097814129239	0.419902185870761
SRR5693371	0.0	0.6450495049504952	0.35495049504950493
SRR5693372	0.0	0.629996594897585	0.37000340510241503
SRR5693373	0.0	0.6732804232804233	0.3267195767195767
SRR5693374	0.0	0.5200495049504951	0.47995049504950493
SRR5693375	0.0	0.5600495049504951	0.43995049504950495
SRR5693376	0.0	0.5600495049504951	0.43995049504950495
SRR5693378	0.0	0.6649470899470898	0.33505291005291005
SRR5693379	0.0	0.6532804232804232	0.34671957671957676
SRR5693380	0.0	0.6467644807959058	0.3532355192040943
SRR5693381	0.0	0.6267644807959057	0.3732355192040943
SRR5693382	0.0	0.600049504950495	0.3999504950495049
SRR5693383	0.0	0.6183828382838285	0.3816171617161716
SRR5693384	0.0	0.5882804232804233	0.4117195767195767
SRR5693385	0.0	0.5682804232804233	0.4317195767195767
SRR5693386	0.0	0.6082804232804233	0.3917195767195768
SRR5693387	0.0	0.6182804232804233	0.3817195767195768
SRR5693388	0.0	0.6282804232804233	0.3717195767195768
SRR5693389	0.0	0.6199470899470899	0.3800529100529101
SRR5693390	0.0	0.6665549330843449	0.33344506691565523
SRR5693391	0.0	0.6266137566137566	0.37338624338624343
SRR5693392	0.0	0.6468023873844309	0.35319761261556926
SRR5693393	0.0	0.5801902218469724	0.41980977815302756
SRR5693394	0.0	0.6467705802968962	0.35322941970310395
SRR5693395	0.0	0.569995399125834	0.43000460087416603
SRR5693396	0.0	0.6433287324591671	0.3566712675408328
SRR5693397	0.0	0.6283287324591672	0.3716712675408328
SRR5693398	0.0	0.6382804232804233	0.3617195767195768
SRR5693399	0.0	0.6468120732555585	0.3531879267444416
SRR5693400	0.0	0.6550449040763289	0.3449550959236711
SRR5693401	0.0	0.6367040292648659	0.36329597073513414
SRR5693402	0.0	0.6168157628471878	0.38318423715281225
SRR5693403	0.0	0.6266137566137566	0.37338624338624343
SRR5693405	0.0	0.6066137566137566	0.3933862433862434
SRR5693406	0.0	0.6082804232804233	0.3917195767195767
