	Ribo	Proba_0	Proba_1
B_M_2	0.0	0.9093839577474337	0.0906160422525661
B_M_3	0.0	0.901467291080767	0.09853270891923276
B_M_1	0.0	0.901467291080767	0.09853270891923276
B_M_4	0.0	0.9093839577474337	0.0906160422525661
B_T_2	1.0	0.29081967604510256	0.7091803239548976
B_T_1	1.0	0.2884243530380008	0.7115756469619996
C_M_1	0.0	0.7920517562924594	0.20794824370754048
B_T_4	1.0	0.2700360237038144	0.7299639762961858
B_T_3	1.0	0.29690277204358834	0.7030972279564119
C_M_3	0.0	0.860959961007882	0.13904003899211798
C_M_4	0.0	0.8598958385063281	0.1401041614936718
C_M_2	0.0	0.8514345172189199	0.14856548278108003
C_T_2	1.0	0.24236372357405067	0.7576362764259496
C_T_3	1.0	0.2405769915524123	0.7594230084475879
C_T_1	1.0	0.2338189437620764	0.7661810562379238
C_T_4	1.0	0.2243018873260501	0.77569811267395
