	Ribo	Proba_0	Proba_1
SRR6410603	1.0	0.3655026786069577	0.6344973213930428
SRR6410604	1.0	0.3606841150418755	0.6393158849581247
SRR6410605	1.0	0.3485304741113673	0.6514695258886329
SRR6410606	1.0	0.3538476443549886	0.6461523556450116
SRR6410607	0.0	0.8463994141997686	0.15360058580023128
SRR6410608	0.0	0.8595606369897603	0.1404393630102399
SRR6410609	0.0	0.8277465585846565	0.17225344141534327
SRR6410610	0.0	0.8613958446435076	0.13860415535649265
SRR6410611	1.0	0.4277991757073988	0.5722008242926019
SRR6410612	1.0	0.4400658036839868	0.5599341963160142
SRR6410613	1.0	0.442986626428173	0.5570133735718279
SRR6410614	1.0	0.4900488248765618	0.509951175123438
SRR6410615	0.0	0.866368370813513	0.13363162918648713
SRR6410616	0.0	0.8560491803152335	0.14395081968476653
SRR6410617	0.0	0.8391978192423291	0.16080218075767067
SRR6410618	0.0	0.8377224104739319	0.16227758952606794
